Date,Ticker,Company,Return,RSI,MACD,Spread,VROC,Is_Market_Open,is_closed
2025-01-01,CCAP.CA,Qalaa Holdings,0.0,39.99999999999999,-0.01128666786067889,0.022222201029459637,0.13479317713244132,0,1
2025-01-01,CLHO.CA,Cleopatra Hospital,0.0,52.87356825827639,0.009940414761851812,0.032298105078795415,4.169902623159925,0,1
2025-01-01,COMI.CA,Commercial International Bank,0.0,15.568858579936446,-0.7048580144116414,0.015031753831608343,0.7167953359087098,0,1
2025-01-01,EAST.CA,Eastern Company,0.0,43.493190337660835,-0.020331295323995136,0.03220341569286286,4.225405053122963,0,1
2025-01-01,EGTS.CA,Egyptian Resorts,0.0,22.58066997068225,-0.14086235085871301,0.0543259541900508,0.7989369340969193,0,1
2025-01-01,ESRS.CA,Ezz Steel,0.0,87.75935208146467,1.837182206770521,0.03481288030356623,4.0776030304379445,0,1
2025-01-01,ETEL.CA,Telecom Egypt,0.0,31.59985873212078,-0.24354120257436307,0.025377649284323504,0.14260136181517938,0,1
2025-01-01,ISPH.CA,Ibnsina Pharma,0.0,65.9090909090909,0.11577910813128423,0.03571428571428579,1.6930724190028001,0,1
2025-01-01,JUFO.CA,Juhayna Food Industries,0.0,86.1111578002235,0.43507391982301513,0.07134326536263992,1.1858906462781817,0,1
2025-01-01,MFPC.CA,Misr Fertilizers (MOPCO),0.0,27.81315515828345,-0.7663061691267572,0.026881719878786934,0.3221600764200793,0,1
2025-01-01,ORAS.CA,Orascom Construction,0.0,50.0,0.0,0.0,0.0,0,1
2025-01-01,PHDC.CA,Palm Hills Developments,0.0,60.43957080434101,-0.0068585217067491655,0.029051996686346285,0.3456007701303487,0,1
2025-01-01,SKPC.CA,Sidi Kerir Petrochemicals,0.0,46.41836285876324,-0.36995723921980783,0.08259741052404625,6.145649549524158,0,1
2025-01-01,SWDY.CA,El Sewedy Electric,0.0,13.636328332938035,-2.851055878575508,0.023589891675262497,1.4135563882414264,0,1
2025-01-01,TMGH.CA,Talaat Mostafa Group,0.0,48.23847405287496,-0.22821193916021798,0.04089287349155966,1.1502112000632307,0,1
2025-01-02,CCAP.CA,Qalaa Holdings,0.03493801861709743,58.064516129032256,-0.003094242653529644,0.030042890787505803,0.6591524898074055,1,0
2025-01-02,CLHO.CA,Cleopatra Hospital,0.030583422658412386,71.71715031037712,0.033135418307180586,0.04216871968996164,1.912515101706428,1,0
2025-01-02,COMI.CA,Commercial International Bank,0.007740658668646167,11.875045090541803,-0.7418584077581301,0.01112371693374528,-0.4426737532670746,1,0
2025-01-02,EAST.CA,Eastern Company,-0.009194713237455318,46.014486928307235,-0.025355268354303462,0.01847420198372096,0.5567529062277391,1,0
2025-01-02,EGTS.CA,Egyptian Resorts,0.0375167520285975,41.249991059316066,-0.1286758791721514,0.03875965410453306,0.17991558521164994,1,0
2025-01-02,ESRS.CA,Ezz Steel,-0.0033127472179332288,84.44282508425734,2.011154109343906,0.049510987907356016,0.6334609619637,1,0
2025-01-02,ETEL.CA,Telecom Egypt,0.044031406857343705,67.65577725632528,-0.11833671500176024,0.04770169177797651,2.878215097895994,1,0
2025-01-02,ISPH.CA,Ibnsina Pharma,-0.007168452779575376,63.73628086637088,0.12083436179061646,0.027338138479826638,1.830359563664051,1,0
2025-01-02,JUFO.CA,Juhayna Food Industries,0.00921110861086344,86.87667013672579,0.5377645025392255,0.03845013854650449,0.9546688502995078,1,0
2025-01-02,MFPC.CA,Misr Fertilizers (MOPCO),0.02783473410735504,38.628180618414675,-0.6923124153663878,0.024313733468647757,0.04316632787277293,1,0
2025-01-02,ORAS.CA,Orascom Construction,0.0,50.0,0.0,0.0,0.0,0,1
2025-01-02,PHDC.CA,Palm Hills Developments,0.059364623127499155,72.09303872917302,0.03551505253761977,0.06195962893274707,3.3068701266515586,1,0
