date,url,arabic_article_text,actor1,actor2,location,tone,event_type
2025-01-31 22:45:00.000000 UTC,https://sarabic.ae/20250131/1097359887.html,إسرائيل تفرج عن الدفعة الثالثة من الأسرى الفلسطينيين، رئيس الوزراء الفلسطيني: إعمار غزة يتطلب خروج إسرائيل وتخلي حماس عن الحكم,QATAR,DAMASCUS,"Doha, Ad Daw?ah, Qatar",-1.85185185185185,42
2025-01-31 23:15:00.000000 UTC,https://stepagency-sy.net/2025/01/31/%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%87%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%A3%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1/,بالفيديو| هدية الرئيس السوري أحمد الشرع لأمير قطر خلال زيارته لدمشق | وكالة ستيب نيوز,SYRIA,QATAR,"Damascus, Dimashq, Syria",3.57142857142858,40
2025-01-31 23:30:00.000000 UTC,http://www.elbrqnews.com/New-News/171233.html,إلقاء القبض على رئيس فرع الأمن السياسي في درعا,CRIMINAL,,"Muhafazat Al Ladhiqiyah, Al Ladhiqiyah, Syria",-2.09790209790209,12
2025-01-31 23:30:00.000000 UTC,http://www.elbrqnews.com/New-News/171208.html,وزير الصناعة: نعمل على مواكبة التغيّرات السريعة في حركة السوق,ACTOR,,Bahrain,1.73160173160173,12
2025-02-01 01:30:00.000000 UTC,https://www.al-binaa.com/archives/424756,تبادل رابع في غزة: 3 أسرى مقابل 183 منهم 72 من الأحكام العالية والمؤبدات / المقاومة الإسلامية في سورية تعلن أولى عملياتها في القنيطرة.. والاحتلال يعترف / إشكالية تمثيل القوات تعطّل ولادة الحكومة بينما سائر العقد باتت بمتناول سلام - جريدة البناء | Al-binaa Newspaper,MEDIA,GOVERNMENT,"Baabda, Mont-Liban, Lebanon",-3.35323840146992,40
2025-02-01 18:00:00.000000 UTC,https://www.shorouknews.com/news/view.aspx?cdate=01022025&id=a76988c4-54ab-4bed-b978-9335c00f0ee2,مستشار الرئيس الفلسطيني يشيد بحشود رفح الرافضة للتهجير: هذه مصر التي نعرفها,EGYPTIAN,PALESTINIAN,Gaza Strip,-5.97609561752989,120
2025-02-01 21:30:00.000000 UTC,https://www.annaharkw.com/annahar/Article.aspx?id=1011956,سورية بين الرئيسين القوتلي والشرع!,CITIZEN,,Syria,1.78571428571428,51
2025-02-01 21:30:00.000000 UTC,https://www.annaharkw.com/annahar/Article.aspx?id=1011867,زبيدوف: وزير الاقتصاد والتجارة الطاجيكي يزور الكويت الأربعاء,TAJIKISTAN,,Kuwait,1.8450184501845,46
2025-02-01 21:30:00.000000 UTC,https://www.okaz.com.sa/articles/authors/2180217,من ملامح السياسة الأمريكية المتوقعة..,IRAN,,Jordan,-4.60199004975124,100
2025-02-01 21:30:00.000000 UTC,http://www.elbrqnews.com/New-News/174150.html,عبدالمنعم سعيد: مكالمة ترامب مع الرئيس السيسي تؤكد نجاح مصر رفضها للتهجير,GAZA,EGYPTIAN,Egypt,-1.20772946859904,46
2025-02-01 21:30:00.000000 UTC,https://www.elfagr.org/5114420,الشيوخ يناقش خطة الحكومة بشأن رقمنة المعاملات المالية غير المصرفية,SENATE,GOVERNMENT,"Ain Sukhna, As Suways, Egypt",1.38036809815951,40
2025-02-01 22:00:00.000000 UTC,http://www.elbrqnews.com/New-News/174246.html,الديهي: ما يجري بالمنطقة الآن حذر منه الرئيس السيسي منذ طوفان الأقصى,PRISONER,,"Al Kulliyah Al Harbiyah, Al Qahirah, Egypt",-6.9620253164557,841
2025-02-01 22:00:00.000000 UTC,http://www.elbrqnews.com/New-News/174217.html,وزير الخارجية في معرض الكتاب: القضية الفلسطينية محور استقرار المنطقة وعلاقتنا بواشنطن استراتيجية,EGYPT,,Turkey,1.8918918918919,30
2025-02-01 22:00:00.000000 UTC,http://www.elbrqnews.com/New-News/174240.html,أبو شامة: مكالمة ترامب بالرئيس السيسي تتويج للتحركات المصرية السياسية والشعبية,EGYPT,,Egypt,2.42718446601942,41
2025-02-01 22:00:00.000000 UTC,https://www.dostor.org/4948942,مبادرات دبلوماسية ومواقف سياسية.. كيف يدعم الرئيس السيسي جهود السلام في المنطقة؟,ISRAEL,,Egypt,1.23022847100176,30
2025-02-01 22:00:00.000000 UTC,https://www.albayan.ae/news/middle-east/24540,نتنياهو يعين الجنرال زامير رئيساً لأركان الجيش الإسرائيلي,HAMAS,,Israel,-2.35294117647059,871
2025-02-01 22:15:00.000000 UTC,https://www.albawabhnews.com/5148248,وزير الخارجية في معرض الكتاب: القضية الفلسطينية محور استقرار المنطقة وعلاقتنا بواشنطن استراتيجية,,EGYPT,"Cairo International, Al Qahirah, Egypt",1.78817056396148,30
2025-02-01 22:30:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217205&language=ar,كونا : رئيس الوزراء العراقي يفتتح معرض بغداد الدولي ويدعو لزيادة الاستثمارات الأجنبية - اقتصاد,IRAQI,SUDAN,Oman,2.4390243902439,46
2025-02-01 22:45:00.000000 UTC,https://bokra.net/Article-1562627,وزيرا خارجية مصر والأردن يبحثان مع أمين سر منظمة التحرير عودة السلطة الفلسطينية إلى غزة,JORDAN,PALESTINIAN,Jordan,3.125,60
